score_term,raw_value,weight,weighted_value
dslf_fa13,-1.924421040226752,1.25,-2.40552630028344
fa_atr,-2325.0185592374214,1.0,-2325.0185592374214
fa_dun,2052.7527163944383,0.7,1436.9269014761067
fa_elec,-440.57010917714024,1.0,-440.57010917714024
fa_intra_rep,1330.2811563834198,0.005,6.651405781917099
fa_intra_sol_xover4,69.5332252471926,1.0,69.5332252471926
fa_rep,1656.8657289686591,0.55,911.2761509327626
fa_sol,1363.7636623957333,1.0,1363.7636623957333
hbond_bb_sc,-15.130571051855966,1.0,-15.130571051855966
hbond_lr_bb,-34.986420860202124,1.0,-34.986420860202124
hbond_sc,-15.268943924796295,1.0,-15.268943924796295
hbond_sr_bb,-179.53088934712704,1.0,-179.53088934712704
lk_ball_wtd,-45.23495551243173,1.0,-45.23495551243173
omega,168.60349783515906,0.4,67.44139913406363
p_aa_pp,-28.145497476014917,0.6,-16.887298485608948
pro_close,16.651777191075247,1.25,20.814721488844057
rama_prepro,381.25928568055446,0.45,171.5666785562495
ref,319.80770000000007,1.0,319.80770000000007
yhh_planarity,0.0,0.625,0.0
total_score,1292.7485711160023,1.0,1292.7485711160023
