sample_uid,numbering_status,chain_type,logo_status,logo_reason,numbered_residue_count
LTT__Nb290,pass,H,included,eligible_numbered_heavy_chain,117
LTT__Nb270,pass,H,included,eligible_numbered_heavy_chain,118
LTT__Nb314,pass,H,included,eligible_numbered_heavy_chain,121
LTT__Nb5,pass,H,included,eligible_numbered_heavy_chain,109
LTT__Nb257,pass,H,included,eligible_numbered_heavy_chain,117
LTT__Nb232,pass,H,included,eligible_numbered_heavy_chain,126
LTT__Nb294,pass,H,included,eligible_numbered_heavy_chain,118
LTT__Nb256,pass,H,included,eligible_numbered_heavy_chain,122
LTT__Nb233,pass,H,included,eligible_numbered_heavy_chain,118
LTT__Nb302,pass,H,included,eligible_numbered_heavy_chain,109
LTT__Nb253,pass,H,included,eligible_numbered_heavy_chain,109
LTT__Nb21,pass,H,included,eligible_numbered_heavy_chain,118
LTT__Nb252,pass,H,included,eligible_numbered_heavy_chain,126
LTT__Q1,pass,H,included,eligible_numbered_heavy_chain,117
LTT__P26,pass,H,included,eligible_numbered_heavy_chain,130
LTT__Q17,pass,H,included,eligible_numbered_heavy_chain,130
LTT__P27,pass,H,included,eligible_numbered_heavy_chain,127
LTT__S53,pass,H,included,eligible_numbered_heavy_chain,122
LTT__S31,pass,H,included,eligible_numbered_heavy_chain,128
LTT__S4,pass,H,included,eligible_numbered_heavy_chain,127
LTT__S19,pass,H,included,eligible_numbered_heavy_chain,120
LTT__S73,pass,H,included,eligible_numbered_heavy_chain,127
LTT__S26,pass,H,included,eligible_numbered_heavy_chain,131
WCC__4-7,pass,H,included,eligible_numbered_heavy_chain,125
WCC__4-34,pass,H,included,eligible_numbered_heavy_chain,119
WCC__4-1,pass,H,included,eligible_numbered_heavy_chain,87
WCC__4-28,failed,F,excluded,numbering_failed,0
WCC__4-11,pass,L,excluded,non_heavy_chain_assignment,105
WCC__4-40,pass,H,included,eligible_numbered_heavy_chain,124
WCC__4-36,pass,H,included,eligible_numbered_heavy_chain,121
WCC__4-42,pass,H,included,eligible_numbered_heavy_chain,121
LLJ__1G7,pass,H,included,eligible_numbered_heavy_chain,126
LLJ__2A4,pass,H,included,eligible_numbered_heavy_chain,122
LLJ__2C8,pass,H,included,eligible_numbered_heavy_chain,126
LLJ__1E2,pass,H,included,eligible_numbered_heavy_chain,118
LLJ__2E11,pass,H,included,eligible_numbered_heavy_chain,126
LLJ__1H7,pass,H,included,eligible_numbered_heavy_chain,126
LLJ__2C6,pass,H,included,eligible_numbered_heavy_chain,126
LLJ__2E2,pass,H,included,eligible_numbered_heavy_chain,122
LLJ__1G11,pass,H,included,eligible_numbered_heavy_chain,124
LLJ__1H6,pass,H,included,eligible_numbered_heavy_chain,126
LLJ__1F12,pass,H,included,eligible_numbered_heavy_chain,122
LLJ__2H8,pass,H,included,eligible_numbered_heavy_chain,122
LLJ__1B11,pass,H,included,eligible_numbered_heavy_chain,122
LLJ__2F12,pass,H,included,eligible_numbered_heavy_chain,125
LLJ__2G7,pass,H,included,eligible_numbered_heavy_chain,122
LLJ__1G4,pass,H,included,eligible_numbered_heavy_chain,122
