seq_id,sequence_length_aa,cluster_id,cluster_size,sequence_weight,framework_identity_to_nb252,framework_coverage_to_nb252,is_nb252_neighbor
1,125,1,1,1.0,0.78021978,1.0,False
2,123,2,1,1.0,0.79120879,0.98901099,False
3,125,3,1,1.0,0.83516484,1.0,True
4,125,4,1,1.0,0.77173913,0.97802198,False
5,126,5,1,1.0,0.73626374,0.98901099,False
6,129,6,1,1.0,0.74725275,1.0,False
7,126,7,1,1.0,0.83516484,1.0,True
8,122,8,1,1.0,0.73626374,1.0,False
9,127,9,1,1.0,0.79120879,0.98901099,False
10,130,10,1,1.0,0.73626374,1.0,False
11,123,11,1,1.0,0.76923077,1.0,False
12,130,12,1,1.0,0.7032967,1.0,False
13,124,13,1,1.0,0.82417582,1.0,True
14,120,14,1,1.0,0.71428571,0.98901099,False
15,125,15,1,1.0,0.81318681,1.0,True
16,123,16,1,1.0,0.8021978,0.98901099,True
17,127,17,1,1.0,0.73626374,1.0,False
18,117,18,1,1.0,0.78021978,1.0,False
19,133,19,1,1.0,0.7032967,1.0,False
21,124,20,1,1.0,0.81318681,1.0,True
22,125,21,1,1.0,0.79120879,0.98901099,False
23,131,22,1,1.0,0.79120879,1.0,False
24,117,23,84,0.0119047619,0.71428571,1.0,False
25,119,24,1,1.0,0.71428571,0.86813187,False
27,124,25,1,1.0,0.83516484,1.0,True
28,126,26,1,1.0,0.79120879,1.0,False
29,116,27,1,1.0,0.75824176,0.98901099,False
30,121,28,2,0.5,0.74725275,0.87912088,False
31,122,29,1,1.0,0.8021978,1.0,True
35,130,30,1,1.0,0.74725275,1.0,False
36,116,23,84,0.0119047619,0.73626374,0.98901099,False
37,130,31,1,1.0,0.7032967,1.0,False
38,126,32,1,1.0,0.71428571,1.0,False
39,132,33,1,1.0,0.81318681,1.0,True
40,122,34,1,1.0,0.8021978,1.0,True
41,127,35,1,1.0,0.75824176,1.0,False
42,132,36,1,1.0,0.84615385,0.98901099,True
43,126,37,1,1.0,0.79120879,1.0,False
44,133,38,1,1.0,0.67346939,1.0,False
46,124,39,1,1.0,0.75824176,1.0,False
47,126,40,1,1.0,0.74725275,1.0,False
48,127,41,1,1.0,0.76923077,0.97802198,False
49,123,42,1,1.0,0.78021978,0.95604396,False
50,120,43,1,1.0,0.84615385,1.0,True
51,129,44,1,1.0,0.79120879,1.0,False
52,119,23,84,0.0119047619,0.72043011,1.0,False
53,127,45,1,1.0,0.64835165,0.98901099,False
54,128,46,1,1.0,0.81318681,0.98901099,True
55,119,47,1,1.0,0.79120879,0.98901099,False
56,130,48,1,1.0,0.82417582,1.0,True
57,124,49,1,1.0,0.76923077,1.0,False
58,126,50,1,1.0,0.69148936,0.98901099,False
60,129,51,1,1.0,0.76923077,1.0,False
61,122,52,1,1.0,0.72527473,1.0,False
62,128,53,1,1.0,0.78494624,1.0,False
64,123,54,1,1.0,0.69230769,0.97802198,False
65,124,55,1,1.0,0.82417582,1.0,True
67,129,56,1,1.0,0.8021978,1.0,True
68,119,57,1,1.0,0.7032967,0.87912088,False
69,122,58,1,1.0,0.8021978,0.98901099,True
70,121,59,1,1.0,0.78021978,1.0,False
71,122,60,1,1.0,0.8021978,0.97802198,True
72,127,61,1,1.0,0.83516484,0.98901099,True
73,127,62,1,1.0,0.8021978,0.98901099,True
74,124,63,1,1.0,0.81318681,1.0,True
